,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction
KANK3,-3.33548495014081,4.51072328095178,-32.6633466917082,6.19267379490729e-24,7.83003941844875e-20,44.6589082918096,down
TAL1,-3.07404642120475,2.9666473812483,-31.8857457508691,1.19973024108615e-23,7.83003941844875e-20,43.7236737893748,down
USHBP1,-2.9880974289785,2.58515099107663,-30.8964544393501,2.84594366645282e-23,1.23827008927362e-19,42.8154496789564,down
FABP4,-5.76254581661273,5.15646695722536,-29.6321880471227,8.92289343536595e-23,2.91176320029579e-19,41.9156412850759,down
TNNC1,-4.56445082847454,4.47897298228031,-27.3034779318129,8.2987709342132e-22,1.54748367148979e-18,39.8187051666463,down
ADRB2,-3.6886836180499,4.20663371200648,-27.0700845098126,1.04783195276515e-21,1.70966880993043e-18,39.6223108778679,down
SLC6A4,-8.12836216487629,3.91777646649862,-28.2727739445829,3.21251382964018e-22,8.38658860365865e-19,39.6169261909756,down
BTNL9,-4.05374032370007,4.2026496341302,-26.4325209442295,2.00050680280489e-21,2.87024843563759e-18,38.9510669146656,down
WNT3A,-5.46113232244981,2.50991880276087,-27.314476129232,8.20844959263008e-22,1.54748367148979e-18,38.771250777643,down
CDO1,-3.20341877877966,2.31607087154193,-26.3404628182611,2.19891859008472e-21,2.87024843563759e-18,38.6187446996653,down
NCKAP5,-4.07865359901121,4.37583907327279,-25.9843684637957,3.1792861411714e-21,3.77265654551912e-18,38.5252024814043,down
CLEC1A,-2.43862394927163,2.78218847568797,-25.6927749193515,4.31481270496445e-21,4.69343751982508e-18,38.1578508495505,down
GPIHBP1,-4.06737851778586,4.54454531488173,-25.5460240865372,5.03776030919071e-21,4.69699180827616e-18,38.0802592523839,down
ARHGAP6,-2.65799703805446,3.2884651195639,-25.5675779182719,4.92418366196504e-21,4.69699180827616e-18,38.0711643692021,down
HSPA12B,-3.2703484482209,4.63978803031795,-25.3370466304342,6.29007873063314e-21,5.47362651139696e-18,37.8768943284292,down
ECSCR,-2.58523001738161,3.12446470109339,-25.2638854452647,6.80117870565905e-21,5.54848660281047e-18,37.7482373293496,down
GIMAP1,-2.26870127577502,3.5099341175365,-25.1380466900757,7.78310422196197e-21,5.97605055348645e-18,37.6512615538592,down
FCN3,-5.56314810628785,5.27045063656785,-24.7397570595608,1.19761159624212e-20,8.22759166618339e-18,37.2278374375827,down
SCUBE1,-4.4494864037157,3.06313472586909,-24.8035136099028,1.11730302792748e-20,8.10230912418746e-18,37.0595181514646,down
RTKN2,-4.9909473464844,6.64217610120498,-24.5639313348807,1.4515054690166e-20,9.47325044353682e-18,37.026891149945,down
C19orf59,-5.08186842555702,5.10252787811338,-23.6827811647195,3.8787099024987e-20,2.41089525511026e-17,36.0525321452717,down
NOVA2,-2.53897876686838,2.3023682785944,-23.2950271874526,6.04120441301457e-20,3.47419808429508e-17,35.5297337455225,down
CCDC48,-3.02233105297091,3.84120527845109,-23.104582425759,7.52839520787941e-20,4.09450594368542e-17,35.4047110276084,down
RAMP3,-3.86439094514482,5.61614087433249,-22.9977047444893,8.52419887199742e-20,4.45065471504729e-17,35.2820719356952,down
SLC5A9,-4.11480876421619,1.73293000319899,-23.2835329910703,6.12170044731379e-20,3.47419808429508e-17,35.2398653233513,down
STX11,-3.53694100904933,5.33196580615613,-22.8741602160147,9.84692640413943e-20,4.94353578281662e-17,35.1359407052735,down
TEK,-3.522843618372,5.43432632762102,-22.7842958010323,1.09411046214067e-19,5.28941624530453e-17,35.0327486156689,down
COX7A1,-2.2555464983938,3.24382590802677,-22.600188508788,1.35931924528751e-19,6.33685503883493e-17,34.81056030233,down
JAM2,-2.50537286538447,3.85496050693771,-22.5688784844603,1.41065375634504e-19,6.34940120054201e-17,34.780343662511,down
CLEC3B,-4.63181511204319,6.52450783403301,-22.4894649048598,1.55004189966634e-19,6.52667642462733e-17,34.6833669732535,down
MASP1,-3.37450439227443,2.81695790127705,-22.4999894369273,1.53077913147625e-19,6.52667642462733e-17,34.6166847743424,down
LIMS2,-3.31580698544195,6.15474815791157,-22.4168393499072,1.68998270163288e-19,6.68464975891333e-17,34.599862684888,down
CFP,-2.53330338809855,2.81707230326842,-22.460193823844,1.60494447444031e-19,6.54666882027169e-17,34.5698577870837,down
MYCT1,-2.34439423644979,4.53255227685966,-22.238984370858,2.09062007927516e-19,8.02613643964076e-17,34.3815205815379,down
NECAB1,-3.17004825014766,3.71561052262097,-22.0854468762188,2.51518233460252e-19,8.87315540907208e-17,34.2006647697196,down
PKNOX2,-2.5229083576445,3.08193636507638,-22.0855679897107,2.51481440661617e-19,8.87315540907208e-17,34.1998339567218,down
IQSEC3,-3.12810409109849,2.0592925755551,-22.2134904258676,2.15562423497563e-19,8.03924661118197e-17,34.1634830999704,down
KL,-2.9303653618846,3.24115622617411,-21.8540258530247,3.33075293185424e-19,1.11477738511521e-16,33.9147890396973,down
C20orf160,-2.58488819600593,3.30468828686633,-21.7577212812631,3.74663080558663e-19,1.22261929763306e-16,33.8069198635177,down
LRRN3,-3.1687447774471,2.77216778814275,-21.6432021659699,4.31188328272533e-19,1.37275640218082e-16,33.6326260390483,down
GPD1,-4.67209960905384,4.28340514144772,-21.597471576928,4.56159538968448e-19,1.39358729803505e-16,33.603169391065,down
MFNG,-2.19319510817616,4.93344462671646,-21.5922856837019,4.59084147824309e-19,1.39358729803505e-16,33.5899569439472,down
GIMAP7,-2.43364207840937,4.81877601022631,-21.5458955957432,4.86124046122701e-19,1.4421311759181e-16,33.5335029352706,down
TMEM100,-4.67570635173872,5.43193516126708,-21.4762109433776,5.2987354898724e-19,1.50357379020227e-16,33.4593209810631,down
STARD13,-2.23315591395385,5.02001462756163,-21.4829469516454,5.2547234016442e-19,1.50357379020227e-16,33.4546625540117,down
RAMP2,-3.18463067848885,5.45118102415052,-21.4091250692565,5.75842596904149e-19,1.59924966327444e-16,33.3679940107659,down
GYPC,-2.07386071895627,5.159830398564,-21.2173128288212,7.31423120060667e-19,1.94842162982691e-16,33.121115903583,down
CRYAB,-2.60754999346886,4.16903289149099,-21.1625769288972,7.83358338444655e-19,2.04503527834362e-16,33.0628137206076,down
UPK3B,-5.42971902783545,5.44405014899816,-21.1354784480604,8.1046631264565e-19,2.07431701548307e-16,33.0369092313002,down
DPEP2,-2.92473354411812,3.30890852648428,-21.0423970124561,9.11197289202531e-19,2.28728042614628e-16,32.8879516941268,down
JPH4,-2.9327867987449,1.79710078075238,-21.2673075869939,6.87095150283136e-19,1.8684693743012e-16,32.8655524893488,down
ARHGEF15,-2.73651460017838,4.91324808472953,-20.7851358545099,1.26261499133458e-18,3.05202101516488e-16,32.5750327317957,down
IL3RA,-2.24632605974244,3.9898995295222,-20.6653519869472,1.47149030295761e-18,3.42988623651887e-16,32.4435444411575,down
PRX,-3.94515278087652,6.04633614163774,-20.6260634924985,1.54752817592869e-18,3.54383952287669e-16,32.3873417770899,down
C13orf36,-6.50114185512514,1.83747997256356,-22.0046249133043,2.77355775187492e-19,9.52717087769035e-17,32.3823337644365,down
EDNRB,-3.89528376525271,6.31266479142888,-20.3762627534822,2.13611734702067e-18,4.80736891907944e-16,32.0658797045674,down
RXFP1,-3.78163199636559,0.840545967937699,-20.878858599594,1.1206886746553e-18,2.76006590005199e-16,32.0233711227315,down
STXBP6,-3.50450333993765,2.88852034289688,-20.297293791791,2.36696732789962e-18,5.23661432730063e-16,31.9526427087029,down
CD300LG,-5.36149076852786,1.72616479344764,-20.7347144018247,1.34653079018257e-18,3.19568480077328e-16,31.8808579190949,down
TMEM88,-2.71083729401236,2.53113358057395,-20.2215694102243,2.61259007953215e-18,5.68368971802218e-16,31.8486941262596,down
SEMA3G,-3.73693616071667,4.95063266308009,-20.1089889875858,3.02747554748352e-18,6.47830136414793e-16,31.6985365093493,down
C13orf15,-3.1623950474854,7.11899386642424,-19.9909830140896,3.53599801639533e-18,7.4444164690336e-16,31.5650079895116,down
STARD8,-2.35395195187407,4.66570699923946,-19.6893353143079,5.27802943217881e-18,1.07647059653484e-15,31.1361652891057,down
OSCAR,-2.92959978143096,5.11660481297477,-19.586446432829,6.05812550864325e-18,1.21656480406647e-15,31.0028915517896,down
LGI3,-4.87485633329297,4.90696294500393,-19.5358152584321,6.48483003541952e-18,1.26338039481091e-15,30.9688397745377,down
COX4I2,-2.89562859163212,3.1186920026512,-19.5102072962629,6.71235285811704e-18,1.28847561554414e-15,30.9332904074522,down
BCHE,-2.62503204706252,2.82008707003109,-19.4726310648654,7.06124346372653e-18,1.33580305698583e-15,30.8845085087105,down
TGM1,-3.28008961501666,2.15194185720936,-19.5658351932974,6.22821865129278e-18,1.23177178871704e-15,30.8793735653038,down
ADAMTS8,-3.50633951227943,4.37297371431525,-19.4326060145705,7.45353420299346e-18,1.38987117073819e-15,30.820267795051,down
HIGD1B,-3.00208430419908,2.29475167460225,-19.3924656728574,7.8696071692407e-18,1.407150443563e-15,30.7509959662392,down
GRIA1,-3.95358112976459,2.70195854469104,-19.39657142537,7.82596912124258e-18,1.407150443563e-15,30.7174496078962,down
THSD1,-2.48401148433477,3.35763173535827,-19.3088912088233,8.81467569597655e-18,1.49425924492964e-15,30.6505990014278,down
ANKRD1,-5.8796678023505,3.62953503748652,-19.3495150369,8.34146526818987e-18,1.43264665981161e-15,30.6378831923247,down
HSPB2,-2.09389481804795,2.56527169928925,-19.2715312890604,9.27434947527273e-18,1.55202671411199e-15,30.6125968100659,down
NMUR1,-2.89012210296225,1.49494315101099,-19.3732395253821,8.07732193120195e-18,1.42477409686458e-15,30.5768642276694,down
ACADL,-3.40538407668576,3.40449200593027,-19.2150378438485,1.00169957591335e-17,1.65508665372114e-15,30.5325822836542,down
GRASP,-2.72055142393415,4.57950318811391,-19.1721171570881,1.06221120383045e-17,1.73313035544986e-15,30.4415723612275,down
RGS9,-3.3332628053834,1.32634357970482,-19.3543212968523,8.28724184071144e-18,1.43264665981161e-15,30.4089620237497,down
FHL5,-2.99370668245714,2.71337430597589,-19.1203315557842,1.14027906609846e-17,1.83387074194102e-15,30.4011739201837,down
RSPO1,-3.41642036778779,1.10395529998781,-19.4065911937648,7.72052002100442e-18,1.407150443563e-15,30.4000048362729,down
GIMAP8,-2.95244249983853,5.58667137615163,-19.112840982711,1.15205240817562e-17,1.83387074194102e-15,30.3597002725355,down
GPR146,-2.44215501131383,3.97040319877559,-19.0760734539712,1.21168958060464e-17,1.88906593000608e-15,30.3190953963599,down
GRK5,-2.89728033007506,5.6521594617621,-19.06906985675,1.22340634203348e-17,1.88906593000608e-15,30.2955429274493,down
DKK2,-2.65386168907361,3.30663961314206,-19.0029520674551,1.33995862318519e-17,2.0337767335391e-15,30.235016598684,down
FIGF,-3.60727367179289,4.24412022310381,-18.9320539294333,1.47775037383953e-17,2.21713512985372e-15,30.1381787100763,down
SH2D3C,-2.74097727787997,5.92467168521344,-18.882445431093,1.5828041982845e-17,2.34776627275086e-15,30.0346803644045,down
PLAC9,-2.99294239745386,3.72651441403112,-18.8051877987945,1.76202088715851e-17,2.55551762667556e-15,29.9542843226273,down
GIMAP6,-2.72225002950664,5.65237805623088,-18.7824294547613,1.81871607749553e-17,2.60875834720321e-15,29.893604542628,down
ADPRH,-1.85501125663081,5.0374106377382,-18.7421456787979,1.9237348031587e-17,2.72940330278593e-15,29.8282296380556,down
NXPH3,-2.49215879162949,2.95077116273805,-18.6554753043919,2.17146011328967e-17,3.04774933965269e-15,29.7660489801378,down
ITLN2,-7.22287079077417,2.05894113611804,-19.7948829436566,4.58500978604011e-18,9.49970360907644e-16,29.6519863123088,down
ACVRL1,-2.98186157336566,6.64677291047097,-18.5744765339489,2.43279417574488e-17,3.37821940170191e-15,29.6218164658143,down
FOXF1,-2.92857044186307,4.52979981843051,-18.5637152846197,2.46988174975896e-17,3.39361752416881e-15,29.5840035030813,down
ANGPTL1,-2.89726386767099,2.77227119411083,-18.4483672791322,2.90611228060655e-17,3.95140454153721e-15,29.4685432127363,down
CD101,-3.29443130361371,3.40115125222837,-18.3540611955401,3.32157012434731e-17,4.42412804419443e-15,29.3418444576955,down
COL6A6,-3.12094578719413,4.28960681307276,-18.3774581784495,3.2130871003029e-17,4.3237552495107e-15,29.340065216684,down
MYOC,-4.9992247630932,0.0716929987973215,-19.0650742010579,1.23014329311666e-17,1.88906593000608e-15,29.0652317976142,down
PPP1R14A,-2.05040760114066,4.07412049038347,-18.1345576978536,4.54362878416298e-17,5.99070570905852e-15,28.9748388337659,down
DACH1,-2.53865674662481,3.37042298317218,-18.104179937878,4.74616130321418e-17,6.19516434908547e-15,28.969380509178,down
SLC19A3,-3.17894320221136,3.49884120455764,-18.0596877672543,5.05976945590569e-17,6.53912581266702e-15,28.9163086295518,down
SH3GL3,-5.24868167365741,0.468996335302898,-18.8372391356628,1.68525347823983e-17,2.47164198331061e-15,28.8545282376002,down
RAPGEF4,-2.35071356637146,3.32870098394902,-17.9638431959709,5.81017571097085e-17,7.3631285005148e-15,28.7648821105854,down
MUSTN1,-2.52926764711844,1.6068580344216,-18.0159760261181,5.38875005078039e-17,6.89601513851338e-15,28.7615510288637,down
C14orf139,-2.10503515768045,2.84980021295568,-17.8426469553311,6.92664101826276e-17,8.57086314693251e-15,28.6083464471976,down
CCRL1,-3.1493292314239,2.72661343922668,-17.8393266202977,6.96017385715809e-17,8.57086314693251e-15,28.6058549527336,down
TRPV2,-2.44391808590997,5.55712624001061,-17.8746856181705,6.61151847443947e-17,8.29809140835177e-15,28.5760997205672,down
EMCN,-2.92645297652242,5.35308671792041,-17.6768778029652,8.82349200365523e-17,1.07638356190385e-14,28.3061624512962,down
PYCR1,3.84404327497591,4.44531641243623,17.6216847399821,9.56805428730215e-17,1.13538011465595e-14,28.2898280002351,up
KCNT2,-3.4418306331089,2.02641041079084,-17.6695418429443,8.91890469212349e-17,1.07794873098415e-14,28.2658393895517,down
VIPR1,-3.89503352460762,5.49896107597668,-17.6517234999459,9.15511467639162e-17,1.09634598046734e-14,28.2548382433659,down
NLRC4,-2.57655858405239,3.19031399514085,-17.538869610242,1.08090752963386e-16,1.2622822143551e-14,28.1715076392207,down
PTH1R,-2.12651825510027,2.29255314687091,-17.5327800210297,1.09066517918376e-16,1.2622822143551e-14,28.1618137870585,down
SOX17,-2.58311997526961,2.61588823788482,-17.5314803571276,1.09275944397553e-16,1.2622822143551e-14,28.1578248333047,down
FAM46B,-2.91736352025934,4.7849171909519,-17.5217542391363,1.10856438735837e-16,1.26930622352533e-14,28.0717631446262,down
SIRPB1,-2.84939093531257,4.24675966143194,-17.4429701537499,1.24561595190054e-16,1.40684119122867e-14,28.0056393158854,down
SPOCK2,-4.25611579390644,8.04844286683143,-17.4288939655058,1.27188853559925e-16,1.41142333930751e-14,27.9963083093159,down
PRAM1,-2.99219666913102,3.71402013372157,-17.4210642894732,1.28674923295483e-16,1.41142333930751e-14,27.9723870767769,down
GCOM1,-3.62217373770671,4.8375838402284,-17.4263982227206,1.27660611195046e-16,1.41142333930751e-14,27.9336211763481,down
GLIPR2,-2.67654918531662,6.27355043810748,-17.4404716395484,1.25023809225869e-16,1.40684119122867e-14,27.9310501758601,down
SELP,-2.59155563565015,4.12236973992517,-17.3894339302473,1.3486321380711e-16,1.46697460818683e-14,27.8842159786947,down
MME,-3.68968928486693,5.53916337684954,-17.3685831434469,1.39109859736228e-16,1.50066198275784e-14,27.854583648516,down
C8orf84,-2.71724418650656,3.40331221904443,-17.3335492621435,1.46558662260655e-16,1.56805755613797e-14,27.831509729543,down
CA4,-5.09611377349001,2.91476984056089,-17.2760086440991,1.59698713406043e-16,1.69475390738949e-14,27.6758858973249,down
EXOC3L,-1.88556611196372,3.2426015205769,-17.1854341486401,1.82898285455375e-16,1.89473914289604e-14,27.607567263389,down
PI16,-3.99588273293057,1.40274316790017,-17.2269285774409,1.71866130137306e-16,1.79469487734581e-14,27.5902613701613,down
ROBO4,-2.99221233795371,6.23818483948794,-17.1619806945484,1.89454755454677e-16,1.94720702594481e-14,27.5559779579919,down
SLCO1A2,-4.58677211561653,1.23674170873065,-17.255507183072,1.64669313919745e-16,1.73341012467293e-14,27.4809022919418,down
GIMAP5,-2.73416051404472,5.37117803822566,-17.1289268043806,1.99109573557004e-16,2.03045098721842e-14,27.4617089090045,down
GRRP1,-2.24047508020081,2.02474089500977,-17.0161292172081,2.36058017804246e-16,2.33429189878698e-14,27.3863308002397,down
PTPN21,-2.55547613659483,5.86234759235077,-17.0623152294363,2.20140419505043e-16,2.22751387271265e-14,27.3685183338053,down
FEZ1,-2.18890315920553,4.02387266622407,-17.0255384975131,2.32721480073827e-16,2.31886525145318e-14,27.3247201324976,down
ERG,-2.15776695812651,5.32028729337371,-17.0308143959405,2.30871979562601e-16,2.31813226863895e-14,27.3234060858165,down
S1PR1,-2.98357810366357,6.29774539646318,-16.999502387212,2.42075145739653e-16,2.37579464461631e-14,27.2942632145688,down
PEAR1,-2.14600695575768,3.9938968345356,-16.9942474952608,2.44009602145579e-16,2.37690846030317e-14,27.2823561464453,down
SYT15,-3.1386235250034,4.83620700771372,-16.962590895233,2.56005719126567e-16,2.45709018511697e-14,27.2285360541989,down
GMFG,-2.15327850480881,5.00313934251483,-16.9091140193701,2.77672063053405e-16,2.64558645185117e-14,27.1345954997547,down
CD300LF,-2.55238628590285,3.83782197956085,-16.8569632056679,3.00627571218449e-16,2.82308754468663e-14,27.1080724733891,down
ADAMTSL3,-2.22470081994553,4.10040461081057,-16.8597523112805,2.99351642229113e-16,2.82308754468663e-14,27.072162173877,down
LOC158376,-2.6802381134818,1.35423245407507,-16.9739608644751,2.51628575071096e-16,2.43296873363186e-14,27.0403982860171,down
FXYD1,-2.94242586974878,3.20092191015902,-16.793813146109,3.31069671674248e-16,3.08675173168854e-14,27.0397747360007,down
LRRC36,-3.37220340668578,3.05297969051884,-16.7205773601869,3.70393526029828e-16,3.3809417449422e-14,26.9477613411864,down
LMO2,-2.29046109465604,4.75193919272805,-16.7625110376216,3.47321646165471e-16,3.2153116648212e-14,26.9017254570574,down
SCARF1,-1.91908264068498,5.10916015080896,-16.7457080279647,3.56383197557662e-16,3.27596470261983e-14,26.8708198613354,down
TCF21,-3.27452065913762,5.31642921274658,-16.7052245844,3.79231255730314e-16,3.43757332017208e-14,26.8490550397902,down
F10,-2.13950852386123,2.46426142463801,-16.6324514043609,4.24181300749652e-16,3.76655681543212e-14,26.8087742939859,down
LYVE1,-3.31443639874454,4.66669750779782,-16.6524781409877,4.11288551828001e-16,3.67708867603486e-14,26.7552060421892,down
RASIP1,-2.55921491051021,5.21057778759886,-16.6543608676653,4.10097478944068e-16,3.67708867603486e-14,26.7373535771299,down
ADCY4,-2.40326174534329,3.71595182739581,-16.5871544957769,4.54904258575074e-16,3.98514448804056e-14,26.6863661792795,down
RASGRP4,-2.35026994758228,2.57521204150976,-16.5532478702795,4.79398499293143e-16,4.17172574084893e-14,26.6855879686176,down
C7orf58,-2.47137169395756,4.53105971144744,-16.6044068425038,4.42940570341442e-16,3.90655625991003e-14,26.6660032985626,down
CALCRL,-3.11941506512264,6.71409332455007,-16.5431306601758,4.8696784852126e-16,4.20953067996557e-14,26.6106850563964,down
SIGLEC11,-3.13907251195665,1.27518347799914,-16.5316906193883,4.95675661972878e-16,4.25661474719209e-14,26.5324934194459,down
ALDH18A1,1.88660288804244,5.7315464153162,16.3497567823762,6.57960511656603e-16,5.61330624748604e-14,26.2497077998827,up
INMT,-3.83973604908797,6.90520229704829,-16.2246802346492,8.00593016206948e-16,6.74202621970922e-14,26.1385184692044,down
PCDHGB7,-2.06164145139929,3.48191142008768,-16.2083641673079,8.21423256873965e-16,6.87310113588196e-14,26.0786884442774,down
AGTR1,-2.52052859047929,2.09644178107379,-16.1559427200214,8.92214189129245e-16,7.39860159647333e-14,26.0738895034377,down
OTUD1,-2.34113486895175,5.50262110169965,-16.2379490423006,7.84055346797972e-16,6.64563275438567e-14,26.0679111822875,down
CNTN6,-4.7273934531963,2.11261834997342,-16.1535699842246,8.9556351202236e-16,7.39860159647333e-14,25.9102204543832,down
BCL2L2,-1.22831876895169,5.91738177305957,-16.0918181022197,9.87450519604337e-16,8.10640983169522e-14,25.8337364794313,down
MS4A7,-2.90679017062428,6.21514651751766,-16.044429235626,1.0645292296775e-15,8.68456252186272e-14,25.7593639341289,down
LGR4,3.03441371140974,4.25881080072513,15.9912154861812,1.15852474455907e-15,9.39268539796869e-14,25.7561415935593,up
PLCL1,-1.7094042073901,3.38361733251074,-15.9523669952093,1.23252393215369e-15,9.93094746074208e-14,25.7073281194469,down
LDB2,-2.81593722902347,5.53043891771601,-15.9370300531033,1.26306533532851e-15,1.01145962098424e-13,25.6125699048518,down
SGCA,-2.00757617131071,3.09224222790777,-15.8977576058577,1.3448824654037e-15,1.07041163542162e-13,25.5944547067649,down
CARD16,-2.05765142373767,4.11616897106656,-15.8931545613279,1.35482375781907e-15,1.07178875823105e-13,25.554054087947,down
HOXA5,-1.85774238897573,2.51706718960394,-15.8285334894932,1.50267285415276e-15,1.17451429732071e-13,25.5203682161937,down
TRHDE,-3.71321348321377,1.26832679731944,-15.8645815651995,1.4182531942644e-15,1.11520837016466e-13,25.4343684837024,down
SEPT4,-1.72366064059426,3.83973796945245,-15.8009825407579,1.57067806497711e-15,1.21313969125125e-13,25.4095758924821,down
DENND3,-2.3762462076864,6.30205277668053,-15.818950634166,1.52597527011384e-15,1.18562828576167e-13,25.4086602515626,down
ZBED2,-2.98160575686954,3.32193748573418,-15.7037992103193,1.83700133545088e-15,1.4022443527275e-13,25.2945900084259,down
MDGA1,-2.33986696425939,3.52977969230855,-15.7051089539872,1.83311827930441e-15,1.4022443527275e-13,25.2553810857756,down
EPN3,3.4559520792471,1.56956404824477,15.5524059713184,2.34828636808325e-15,1.76161965302245e-13,25.1002040633823,up
AGER,-6.913709551137,8.85800470846585,-15.5428788513397,2.38500726491099e-15,1.77710772275758e-13,25.0858540727304,down
FGR,-2.67110910591556,5.38879838147581,-15.6158053729527,2.11832080804703e-15,1.60758380857197e-13,25.0795730456681,down
CD300C,-2.46284545420538,2.69187782917714,-15.5085668619231,2.5222397405744e-15,1.84959524346728e-13,25.0439136177686,down
FHL1,-3.70332283271606,7.38627678210565,-15.5526378007195,2.3474001193517e-15,1.76161965302245e-13,25.0382810532913,down
WWC2,-2.66063236212806,6.63791986493949,-15.5295643043441,2.43732127144323e-15,1.79742116136432e-13,24.956168958419,down
GIMAP4,-2.23643791916223,5.83112596837565,-15.5400148651567,2.39616148935367e-15,1.77710772275758e-13,24.9490595527378,down
CCDC85A,-2.76892484096644,3.60460748246445,-15.4613921558116,2.72434031499765e-15,1.97560078509246e-13,24.8982669054564,down
SMAD6,-2.8723865580231,4.81749350934781,-15.5033902466379,2.54364032080665e-15,1.8548679948318e-13,24.8840635523962,down
DOK2,-2.64232038261363,5.41052950327079,-15.4464801454589,2.79164247962494e-15,2.01322150754388e-13,24.7882239869034,down
NPR1,-2.94640990850591,5.31419675947267,-15.4396907530338,2.82285087723831e-15,2.02454244508745e-13,24.7811262756968,down
EMR3,-3.20740801240369,0.59544525885432,-15.41232463134,2.95233715066124e-15,2.10583917090607e-13,24.7531913130729,down
TIE1,-2.20463056428751,5.72864840627194,-15.4077161705682,2.97473827219914e-15,2.1102857971204e-13,24.7513138864647,down
IL7R,-2.75375858675147,4.75322905826549,-15.3969189423241,3.02791139439391e-15,2.13639607735263e-13,24.7284397196915,down
RCC1,2.20664512274454,4.05164783421693,15.3271167495927,3.39617359369803e-15,2.37060181382569e-13,24.7245297096082,up
RPL13AP17,-4.25259718885977,1.68566437062793,-15.3628474788002,3.20222311224465e-15,2.24723754215749e-13,24.7083795902093,down
FAM124B,-1.95977398910415,1.59752658937943,-15.3044703073014,3.5253378924204e-15,2.43472145554304e-13,24.6927381401255,down
CLDN5,-3.22584138255211,6.57456822418882,-15.3094499234618,3.49650850168237e-15,2.42765561023723e-13,24.6081473638356,down
ARHGAP31,-2.56021156092712,6.45926575910035,-15.288725051722,3.6181185999276e-15,2.48564747815026e-13,24.5491104457102,down
ABCA9,-2.35061893141091,2.2951106040212,-15.2072607474533,4.14001963744846e-15,2.79998322941009e-13,24.534666399742,down
CD36,-3.53405476718155,6.47753803524697,-15.26007199461,3.79347660986345e-15,2.59247383186113e-13,24.5136307218688,down
FMO2,-3.8103982322291,7.08862147036007,-15.2115914607983,4.11041064143233e-15,2.79443698451126e-13,24.4740917090451,down
EPCAM,1.55375865284536,7.81694709520695,15.1861886349337,4.28726029009415e-15,2.8846189982783e-13,24.3734615475959,up
GHR,-2.10424436874677,2.40695666327554,-15.1066125220442,4.89379724443129e-15,3.24257540261734e-13,24.3642131266842,down
ABCG2,-2.07855415909742,3.36186559121621,-15.1525437949154,4.53364486504477e-15,3.02986714839456e-13,24.3527025667285,down
HLX,-1.66961636764905,4.28172362120703,-15.0859384842765,5.0654129361315e-15,3.33933510380426e-13,24.1868897726088,down
PRKCE,-1.97128752277451,5.16317200879203,-15.0768166520271,5.1430955068342e-15,3.37350882666868e-13,24.1621647156507,down
FAT3,-2.48659034897721,1.77667930042064,-14.9545373259933,6.31152177662821e-15,4.0784303836796e-13,24.1335292477501,down
ARC,-3.35903818302101,2.4126346170189,-14.962627042823,6.22636292479425e-15,4.0571834048747e-13,24.1237226646984,down
XDH,3.99321846660681,0.568102271060096,15.1504358928285,4.54955919011211e-15,3.02986714839456e-13,24.1034596614716,up
CAV1,-4.45461573069525,9.24916592985639,-14.95062912073,6.35309209065168e-15,4.08506951030918e-13,24.090248363419,down
LRRC2,-2.72364878909943,1.29898556942487,-14.892140205132,7.01008399052907e-15,4.48542285923412e-13,24.0245613524233,down
N4BP2L1,-1.81851019320294,4.34868073338536,-14.9606028998406,6.2475589089084e-15,4.0571834048747e-13,23.9929550031786,down
ETV4,3.97116557878197,2.56947299112349,14.8644940953193,7.34463308888446e-15,4.67656076630287e-13,23.9619573829164,up
ATP1A2,-2.71586403210201,2.00805626607854,-14.785887470698,8.38879692919204e-15,5.16723900321781e-13,23.8457936341126,down
DDO,-2.3198827269601,1.68883524598137,-14.8215013842655,7.89795763716955e-15,4.96417525146556e-13,23.8316290558482,down
TBX2,-2.33985330880255,6.16443858192419,-14.8348352326972,7.7218937425404e-15,4.89290674861067e-13,23.7982462036421,down
RETN,-4.11271044467551,1.70877391966621,-14.8149117696509,7.9864920156881e-15,4.96417525146556e-13,23.7981924398746,down
PTPRO,-2.20337934299851,3.43925956809164,-14.7816883370593,8.44870814391949e-15,5.17751114566109e-13,23.7883456037917,down
FAM189A2,-2.99399365358565,5.2546144270648,-14.8163349042995,7.9672853185745e-15,4.96417525146556e-13,23.7361398214977,down
CDH5,-2.73681642309241,7.01422191404762,-14.7772735708235,8.51217183004139e-15,5.19202705128646e-13,23.7310952479462,down
SLC11A1,-2.51112904382751,5.58552977346306,-14.8188477405973,7.93348816501544e-15,4.96417525146556e-13,23.7262130214663,down
GOLM1,2.70745281263898,6.4414130393139,14.7856369182733,8.39235937088926e-15,5.16723900321781e-13,23.6657686373352,up
HOXA4,-1.96441788514558,1.75010937560507,-14.6639000776518,1.03220093950199e-14,6.12423584696341e-13,23.6444847992622,down
BCL6B,-2.02268371140834,4.48955655895324,-14.7624458810073,8.72894614392197e-15,5.2994853030983e-13,23.6342591025479,down
SFXN1,1.73205411559272,4.27346561017993,14.705877191036,9.60962675773447e-15,5.78038977275152e-13,23.632495312125,up
GPM6A,-4.19084098912836,4.40477297571858,-14.6728843947417,1.0165089093697e-14,6.05867159543502e-13,23.5815277183585,down
KIF17,-2.37626953654045,2.44759782755032,-14.6304453763795,1.09286364978884e-14,6.42574289220436e-13,23.573646644903,down
CYYR1,-2.1482646792616,5.12993602801155,-14.7109541129837,9.52697263774808e-15,5.75720249261693e-13,23.5546773182379,down
