,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction
DAB2,-1.56630339186681,6.6000206805117,-8.99125190958824,9.0462733798012e-10,1.27105496691652e-08,11.8731612076458,down
CDH23,-1.72577146732339,2.44546795992393,-8.8579042387125,1.23889758228893e-09,1.67405073929787e-08,11.8581040153144,down
RPP40,2.17278315137855,1.32342648193006,8.74137875352985,1.63383433947069e-09,2.10319917486301e-08,11.8564902481996,up
NOLC1,0.951036116147943,6.56438086799626,8.99181135648505,9.03439153609167e-10,1.2707533698341e-08,11.8551023411819,no DE
LIMCH1,-2.05219703899332,8.13398840018502,-8.92508290921701,1.05708051470349e-09,1.46476347753978e-08,11.8532908106284,down
BRCC3,0.788568775378225,4.41155495528897,8.92294809471098,1.06241567355805e-09,1.46748272877812e-08,11.8262264482562,no DE
RNF13,-0.997686115493487,6.73129693287554,-8.97090155956425,9.48954145860106e-10,1.33047244531815e-08,11.8229892390287,no DE
CCDC99,1.529916171963,2.56252669010664,8.78581697139266,1.46989751388318e-09,1.92443051642098e-08,11.8196043771825,up
C1QB,-2.7547771510469,8.55386918389311,-8.92404500068328,1.05967093885697e-09,1.46524203018009e-08,11.8183528697053,down
NOB1,0.966129349789456,5.13830224167997,8.95662878133414,9.81364552517718e-10,1.37296371961562e-08,11.8095304167743,no DE
STAC3,-1.57521985631651,2.33720668986432,-8.76800679352685,1.53347922088565e-09,1.99965077624579e-08,11.7994703234463,down
TNFAIP8L2,-1.52245976302043,2.95893792736045,-8.82095785362425,1.35224021580734e-09,1.80110117723809e-08,11.7970603019444,down
PCDHGA12,-1.35604427800085,1.81917149413699,-8.79927117375547,1.42365996283766e-09,1.87897204195349e-08,11.7817967187532,down
LCLAT1,1.02847296294934,4.26129680805657,8.91472983522659,1.08321274241161e-09,1.49462747639521e-08,11.7685763880666,up
RAP1A,-0.752035988727847,6.58345799016039,-8.95171538317663,9.92782237176081e-10,1.38745037921407e-08,11.7668717984564,no DE
CSF2RB,-1.49378457918172,4.96376319255267,-8.94051911111495,1.01931081610054e-09,1.42300150615619e-08,11.7626904081841,down
